Gene(EntrezID)	TF_targets	Mapped_genes	P-value
4149	10695	26	0.0074
23512	4776	18	0.0003
6657	7102	23	0.0002
6597	4504	15	0.0062
196	1005	6	0.0061
2101	2043	9	0.0055
4776	2026	9	0.0052
4775	2026	9	0.0052
4772	2028	9	0.0053
4773	2028	9	0.0053
10155	2943	12	0.0022
1051	8772	23	0.0062
5451	1403	7	0.0079
5454	2044	10	0.0015
10062	887	6	0.0033
5468	4160	14	0.0057
10664	11208	32	0.0
405	1724	8	0.0068
8726	638	6	0.0006
6929	6015	19	0.0023
6927	609	5	0.0033
7490	1515	8	0.0031
2118	338	4	0.0024
6045	1508	9	0.0007
2114	1358	7	0.0066
860	3600	13	0.0054
1045	875	8	0.0001
3175	445	4	0.0064
2146	1113	8	0.0004
367	6331	21	0.0004
6774	5822	18	0.004
6776	1922	11	0.0002
6777	1480	8	0.0027
571	1435	11	0.0
7157	3733	14	0.0029
468	494	4	0.0091
1869	10260	26	0.004
3725	8382	24	0.001
4086	744	5	0.0077
4088	3051	13	0.0009
4089	4601	17	0.0007
2637	232	3	0.0069
23186	1158	7	0.0028
4790	934	9	0.0
4150	2289	13	0.0
11016	254	3	0.0088
10320	8980	27	0.0001
988	264	5	0.0001
9971	426	4	0.0055
63978	1614	12	0.0
4609	13735	32	0.0014
79923	5040	16	0.0053
22823	2555	15	0.0
