Gene(EntrezID)	TF_targets	Mapped_genes	P-value
5915	548	2	0.0062
5914	597	3	0.0002
196	1005	3	0.001
3091	658	2	0.0088
1053	439	2	0.004
1054	653	2	0.0087
405	1724	4	0.0002
10765	3220	4	0.0022
2908	4736	5	0.0005
2305	550	2	0.0059
8726	638	4	0.0
6045	1508	3	0.0031
1911	702	3	0.0003
10472	214	2	0.001
7068	254	2	0.0014
7067	256	3	0.0
2099	2812	4	0.0013
2146	1113	3	0.0013
6258	254	2	0.0014
6257	619	2	0.0078
7157	3733	4	0.0039
3720	1400	4	0.0001
2100	682	2	0.0095
4089	4601	4	0.0088
672	21	1	0.0049
7080	473	2	0.0046
22823	2555	4	0.0009
